review_id,product_id,customer_id,review_dates,ratings,reviews
1,2,1,2024-06-08,5,Defective item
2,10,2,2024-02-07,5,Defective item
3,5,3,2024-05-25,3,Not as Described
4,9,4,2024-04-10,3,Defective item
5,4,5,2024-01-25,5,Not as described
6,6,6,2024-02-05,5,
7,6,7,2024-05-09,3,Not as Described
8,12,8,2024-04-14,3,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
9,4,9,2024-02-12,5,Not as described
10,11,10,2024-03-25,4,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
11,14,11,2024-04-06,3,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
12,10,12,2024-05-19,4,Not as described
13,5,13,2024-02-06,4,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
14,1,14,2024-03-26,3,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
15,5,15,2024-05-07,3,Defective item
16,13,16,2024-03-18,3,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
17,12,17,2024-04-06,4,Defective item
18,2,18,2024-05-05,5,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
19,2,19,2024-06-21,3,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
20,9,20,2024-04-25,5,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
21,3,21,2024-04-07,4,Not as described
22,11,22,2024-05-14,5,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
23,14,23,2024-03-29,4,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
24,4,24,2024-01-18,5,Defective item
25,3,25,2024-04-29,4,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
26,4,26,2024-04-09,3,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
27,1,27,2024-04-23,3,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
28,2,28,2024-03-02,3,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
29,12,29,2024-04-27,3,Defective item
30,14,30,2024-01-06,4,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
31,2,31,2024-05-29,5,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
32,2,32,2024-04-26,4,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
33,8,33,2024-04-20,5,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
34,5,34,2024-03-02,4,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
35,13,35,2024-05-24,4,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
36,15,36,2024-04-18,4,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
37,10,37,2024-06-28,4,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
38,6,38,2024-04-13,5,Defective item
39,1,39,2024-02-06,3,Defective item
40,7,40,2024-01-21,3,"Great value for money! Thed product arrived exactly as described, and the customer service was top-notch."
41,3,41,2024-02-13,3,I'm impressed with the attention to detail and the care taken in packaging. Will definitely be ordering again!
